product_id,name,variant_label,image,cost_price,sell_price,profit,match_status
PROD-0926,Modian Gold Color Heart Rings 100% 925 Sterling,Ring Size: 6,https://raw.githubusercontent.com/Ejiro-David/fa-logistics-product-images/master/images/0938_modian-gold-color-heart-rings-100-925-sterling-sil.webp,"₦35,335","₦49,900","₦14,565",matched_variant
PROD-0926,Modian Gold Color Heart Rings 100% 925 Sterling,Ring Size: 7,https://raw.githubusercontent.com/Ejiro-David/fa-logistics-product-images/master/images/0938_modian-gold-color-heart-rings-100-925-sterling-sil.webp,"₦35,335","₦49,900","₦14,565",matched_variant
PROD-0926,Modian Gold Color Heart Rings 100% 925 Sterling,Ring Size: 8,https://raw.githubusercontent.com/Ejiro-David/fa-logistics-product-images/master/images/0938_modian-gold-color-heart-rings-100-925-sterling-sil.webp,"₦35,335","₦49,900","₦14,565",matched_variant
PROD-0926,Modian Gold Color Heart Rings 100% 925 Sterling,Ring Size: 9,https://raw.githubusercontent.com/Ejiro-David/fa-logistics-product-images/master/images/0938_modian-gold-color-heart-rings-100-925-sterling-sil.webp,"₦35,335","₦49,900","₦14,565",matched_variant
PROD-0927,Modian Gold Color Irregular Hearts Beads Pendant,Gem Color: Gold Color,https://raw.githubusercontent.com/Ejiro-David/fa-logistics-product-images/master/images/0939_modian-gold-color-irregular-hearts-beads-pendant-n.webp,"₦45,044","₦60,500","₦15,456",matched_variant
PROD-0927,Modian Gold Color Irregular Hearts Beads Pendant,Gem Color: White Color,https://raw.githubusercontent.com/Ejiro-David/fa-logistics-product-images/master/images/0939_modian-gold-color-irregular-hearts-beads-pendant-n.webp,"₦45,044","₦60,500","₦15,456",matched_variant
PROD-0928,Modian Gold Color Lace Pattern Rings 925 Sterling,Gem Color: Rhr1796 • Ring Size: 5,https://raw.githubusercontent.com/Ejiro-David/fa-logistics-product-images/master/images/0940_modian-gold-color-lace-pattern-rings-925-sterling-.webp,"₦36,110","₦48,900","₦12,790",matched_variant
PROD-0928,Modian Gold Color Lace Pattern Rings 925 Sterling,Gem Color: Rhr1796 • Ring Size: 6,https://raw.githubusercontent.com/Ejiro-David/fa-logistics-product-images/master/images/0940_modian-gold-color-lace-pattern-rings-925-sterling-.webp,"₦36,110","₦48,900","₦12,790",matched_variant
PROD-0928,Modian Gold Color Lace Pattern Rings 925 Sterling,Gem Color: Rhr1796 • Ring Size: 7,https://raw.githubusercontent.com/Ejiro-David/fa-logistics-product-images/master/images/0940_modian-gold-color-lace-pattern-rings-925-sterling-.webp,"₦36,110","₦48,900","₦12,790",matched_variant
PROD-0928,Modian Gold Color Lace Pattern Rings 925 Sterling,Gem Color: Rhr1796 • Ring Size: 8,https://raw.githubusercontent.com/Ejiro-David/fa-logistics-product-images/master/images/0940_modian-gold-color-lace-pattern-rings-925-sterling-.webp,"₦36,110","₦48,900","₦12,790",matched_variant
PROD-0928,Modian Gold Color Lace Pattern Rings 925 Sterling,Gem Color: Rhr1796 • Ring Size: 9,https://raw.githubusercontent.com/Ejiro-David/fa-logistics-product-images/master/images/0940_modian-gold-color-lace-pattern-rings-925-sterling-.webp,"₦36,110","₦48,900","₦12,790",matched_variant
PROD-0929,Modian Gold Color Pendant Fashion Design Real 925,Gem Color: A,https://raw.githubusercontent.com/Ejiro-David/fa-logistics-product-images/master/images/0941_modian-gold-color-pendant-fashion-design-real-925-.webp,"₦27,091","₦37,900","₦10,809",matched_variant
PROD-0929,Modian Gold Color Pendant Fashion Design Real 925,Gem Color: B,https://raw.githubusercontent.com/Ejiro-David/fa-logistics-product-images/master/images/0941_modian-gold-color-pendant-fashion-design-real-925-.webp,"₦27,091","₦37,900","₦10,809",matched_variant
PROD-0929,Modian Gold Color Pendant Fashion Design Real 925,Gem Color: C,https://raw.githubusercontent.com/Ejiro-David/fa-logistics-product-images/master/images/0941_modian-gold-color-pendant-fashion-design-real-925-.webp,"₦27,091","₦37,900","₦10,809",matched_variant
PROD-0929,Modian Gold Color Pendant Fashion Design Real 925,Gem Color: D,https://raw.githubusercontent.com/Ejiro-David/fa-logistics-product-images/master/images/0941_modian-gold-color-pendant-fashion-design-real-925-.webp,"₦27,091","₦37,900","₦10,809",matched_variant
PROD-0929,Modian Gold Color Pendant Fashion Design Real 925,Gem Color: E,https://raw.githubusercontent.com/Ejiro-David/fa-logistics-product-images/master/images/0941_modian-gold-color-pendant-fashion-design-real-925-.webp,"₦27,091","₦37,900","₦10,809",matched_variant
PROD-0929,Modian Gold Color Pendant Fashion Design Real 925,Gem Color: F,https://raw.githubusercontent.com/Ejiro-David/fa-logistics-product-images/master/images/0941_modian-gold-color-pendant-fashion-design-real-925-.webp,"₦27,091","₦37,900","₦10,809",matched_variant
PROD-0929,Modian Gold Color Pendant Fashion Design Real 925,Gem Color: G,https://raw.githubusercontent.com/Ejiro-David/fa-logistics-product-images/master/images/0941_modian-gold-color-pendant-fashion-design-real-925-.webp,"₦27,091","₦37,900","₦10,809",matched_variant
